FIPS,year,State,Area_name,Unemployment_rate,percent_HSE,percent_AD,percent_BD,percent_GD,totalvotes,democrat,republic,AG_Rate,BC_Rate,WC_Rate,MHI_Change,TOTRATE,EVANRATE,BPRTRATE,MPRTRATE,CATHRATE,ORTHRATE,OTHRATE,AmericanIndian_Median_age_Total,AmericanIndian_Median_age_Male,AmericanIndian_Median_age_Female,Asian_Median_age_Total,Asian_Median_age_Male,Asian_Median_age_Female,Black_Median_age_Total,Black_Median_age_Male,Black_Median_age_Female,Hispanic_Median_age_Total,Hispanic_Median_age_Male,Hispanic_Median_age_Female,White_Median_age_Total,White_Median_age_Male,White_Median_age_Female,Population,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,area_square_miles,popdensity,turnout,percent_republican,percent_democrat,margin
1005,2012,AL,"Barbour County, AL",11.5,33.3,7.2,8.5,6,11509,5912,5550,2.17,74.43,16.71,(     8.07%),549.99,320.25,121.20888889,77.938888889,20.94,,9.65,49,49,,28.6,16.6,39.9,34,31.9,37,24.6,24.3,25.5,45.1,42.4,48.3,27469,27174,14541,12633,7348,6355,6879,6037,85,66,64,61,136,97,526,574,904.52,30.368593287,0.4189813972,0.4822312972,0.5136849422,-0.031453645
1005,2016,AL,"Barbour County, AL",8.3,34.9,8.2,7.8,5.1,10469,4871,5454,2.05,51.75,46.25,3.86%,549.99,320.25,121.20888889,77.938888889,20.94,,9.65,27.1,27.2,24.9,16.7,16.7,23.1,34.2,33.3,36,27.1,27.2,24.9,47.3,44.4,50.6,26614,25819,13629,12190,6780,6073,6520,5863,89,62,54,57,159,121,493,509,904.52,29.423340556,0.3933643947,0.5209666635,0.4652784411,0.0556882224
1017,2012,AL,"Chambers County, AL",9.9,35,6.2,7.4,3.7,14611,6871,7626,2.46,53.29,24.43,(    14.89%),650.33,377.12,168.93,90.018888889,7.28,,6.99,,,,29.8,27.3,30.2,36.7,34.7,37.5,20.4,24.2,14.1,45,43.6,46.4,34228,34104,16270,17834,9763,10301,6133,7184,45,42,135,110,179,192,240,252,603.11,56.752499544,0.4268727358,0.521935528,0.4702621313,0.0516733968
1023,2012,AL,"Choctaw County, AL",10.3,38.3,7.6,7.7,4.2,7968,3786,4152,7.19,24.66,17.65,1.91%,701.41888889,438.69888889,190.12888889,56.928888889,4.33,,11.33,,,,30.9,,30.9,42.7,38.2,44.3,20.4,,20.8,45.4,43.8,46.4,13838,13561,6505,7056,3743,3871,2709,3131,13,9,10,11,30,34,46,33,920.86,15.027257129,0.5758057523,0.5210843373,0.4751506024,0.0459337349
1035,2012,AL,"Conecuh County, AL",11.9,41.2,9,5.1,4.6,7022,3555,3439,9.28,46.2,2.94,(     6.07%),570.75888889,324.83888889,151.18888889,74.158888889,,,20.558888889,23.2,,23.2,67.1,,,37.4,31.6,40.4,9.9,30.3,9.7,47.9,46.6,48.5,13188,13044,6284,6760,3368,3366,2798,3275,28,24,5,13,84,81,80,61,852.72,15.465803546,0.5324537458,0.489746511,0.5062660211,-0.01651951
1035,2016,AL,"Conecuh County, AL",8.4,46.2,6.2,4.9,3.7,6585,3080,3420,1.2,50.35,48.4,5.00%,570.75888889,324.83888889,151.18888889,74.158888889,,,20.558888889,6.8,23.1,2.3,,,,38,36.2,40.1,6.8,23.1,2.3,49.2,48,50.2,12697,12501,5987,6514,3151,3208,2701,3192,33,17,8,15,92,80,108,87,852.72,14.889999062,0.5186264472,0.5193621868,0.4677296887,0.0516324981
1073,2012,AL,"Jefferson County, AL",7.4,27.4,7.4,18.1,11.2,303918,159876,141683,0.04,51.31,40.64,(    10.88%),838.7,469.25,161.96888889,101.81,83.65,2.16,19.85,41.1,34.6,46.9,31.8,31.5,32.1,33.2,31,35.1,25.9,26.4,24.5,41.2,39.6,42.9,658464,657967,311430,346537,173835,183795,128115,152720,1120,1055,4820,5239,3343,3583,10975,11555,1123.81,585.92110766,0.4615559848,0.4661882481,0.5260497897,-0.059861542
1073,2016,AL,"Jefferson County, AL",5.7,26.5,7.8,19,12.4,304191,156873,134768,0.1,35.7,64.25,9.02%,838.7,469.25,161.96888889,101.81,83.65,2.16,19.85,26,26.7,24.6,34.5,34.7,34.2,34.6,32.1,36.6,26,26.7,24.6,41.8,40.1,43.4,659096,660326,312743,347583,171963,181218,130654,155270,943,992,5209,5811,3831,4098,11539,11703,1123.81,586.4834803,0.4615276075,0.4430374337,0.5157055929,-0.072668159
1091,2012,AL,"Marengo County, AL",10.2,37.8,6.1,12.4,5.3,11537,6167,5336,3.96,56.05,22.16,(     7.64%),772.52888889,507.49,145.37888889,90.65,18.358888889,,10.65,,,,33.1,33.4,14.7,37.2,34.6,38.6,48.2,48.6,46.6,45.8,44.9,46.4,20909,20367,9564,10803,4677,4968,4756,5688,20,23,21,30,70,79,231,159,982.67,21.277743291,0.5517719642,0.4625119182,0.5345410419,-0.072029124
1091,2016,AL,"Marengo County, AL",7.1,40.2,8.2,10.3,4.5,10994,5615,5233,3.8,48.3,47.9,4.37%,772.52888889,507.49,145.37888889,90.65,18.358888889,,10.65,20.8,38.5,20.7,15,,14.5,37.2,34,38.8,20.8,38.5,20.7,46.6,45.4,47.4,20066,19516,9214,10302,4441,4651,4611,5483,26,22,25,37,92,94,231,178,982.67,20.419876459,0.5478919565,0.4759869019,0.5107331272,-0.034746225
